State,Year,AvgTemp,AvgHumidity,TotalRainfall,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Andhra Pradesh,2008,27.2,67,950,Potato,Whole Year ,5227.0,50118.0,944.6,747670.08,470.43,9.332
Andhra Pradesh,2009,26.5,64,820,Potato,Whole Year ,5040.0,57159.0,711.0,785332.8,856.8,10.294
Andhra Pradesh,2010,27.8,69,1080,Potato,Whole Year ,5953.0,66316.0,1297.0,988852.83,1428.72,10.99875
Andhra Pradesh,2011,26.9,66,890,Potato,Whole Year ,6057.0,60802.0,861.9,1014668.64,1998.81,10.52428571
Andhra Pradesh,2012,27.5,68,980,Potato,Kharif     ,267.0,4093.0,968.7,40263.6,82.77,16.335
Andhra Pradesh,2012,27.5,68,980,Potato,Rabi       ,934.0,14306.0,968.7,140847.2,289.54,17.176
Andhra Pradesh,2013,27.0,65,850,Potato,Kharif     ,385.0,6710.0,1062.3,55628.65,103.95,16.03
Andhra Pradesh,2013,27.0,65,850,Potato,Rabi       ,1073.0,18530.0,1062.3,155037.77,289.71,15.024
Andhra Pradesh,2014,28.1,70,1120,Potato,Kharif     ,351.0,6055.0,687.6,52986.96,115.83,17.6225
Andhra Pradesh,2014,28.1,70,1120,Potato,Rabi       ,1034.0,17881.0,687.6,156092.64,341.22,17.564
Andhra Pradesh,2015,26.7,63,780,Potato,Kharif     ,574.0,7851.0,940.7,90640.34,189.42,7.96
Andhra Pradesh,2015,26.7,63,780,Potato,Rabi       ,1472.0,17105.0,940.7,232443.52,485.76,8.875
Andhra Pradesh,2016,27.9,68,1050,Potato,Kharif     ,527.0,4751.0,890.0,80762.75,184.45,9.09
Andhra Pradesh,2016,27.9,68,1050,Potato,Rabi       ,1164.0,10675.0,890.0,178383.0,407.4,9.715
Andhra Pradesh,2017,26.8,64,830,Potato,Kharif     ,457.0,4758.0,868.2,71950.08,173.66,7.15
Andhra Pradesh,2017,26.8,64,830,Potato,Rabi       ,994.0,10912.0,868.2,156495.36,377.72,8.49
Andhra Pradesh,2018,28.2,71,1150,Potato,Kharif     ,486.0,2992.0,1220.5,78829.2,170.1,7.44
Andhra Pradesh,2018,28.2,71,1150,Potato,Rabi       ,970.0,6026.0,1220.5,157334.0,339.5,8.096666667
Andhra Pradesh,2019,27.1,66,900,Potato,Kharif     ,453.0,6648.0,899.2,77807.28,167.61,12.21
Andhra Pradesh,2019,27.1,66,900,Potato,Rabi       ,1050.0,15919.0,899.2,180348.0,388.5,13.155
Tamil Nadu,2008,27.5,72,950,Potato,Whole Year ,4367.0,80538.0,1201.9,624655.68,393.03,19.39
Tamil Nadu,2009,26.8,69,830,Potato,Whole Year ,4611.0,84683.0,928.5,718486.02,783.87,19.2475
Tamil Nadu,2011,27.2,71,890,Potato,Whole Year ,4673.0,92207.0,926.5,782820.96,1542.09,19.59125
Tamil Nadu,2013,26.9,68,880,Potato,Kharif     ,3875.0,70206.0,740.9,559898.75,1046.25,18.37333333
Tamil Nadu,2013,26.9,68,880,Potato,Rabi       ,2044.0,52531.0,740.9,295337.56,551.88,24.145
Tamil Nadu,2014,28.2,75,1100,Potato,Kharif     ,3018.0,68463.0,911.3,455597.28,995.94,21.70833333
Tamil Nadu,2014,28.2,75,1100,Potato,Rabi       ,1719.0,43468.0,911.3,259500.24,567.27,22.54
Tamil Nadu,2015,26.5,67,790,Potato,Kharif     ,3235.0,65799.0,1201.9,510838.85,1067.55,20.9825
Tamil Nadu,2015,26.5,67,790,Potato,Rabi       ,1071.0,24164.0,1201.9,169121.61,353.43,22.4075
Tamil Nadu,2016,28.0,72,1070,Potato,Kharif     ,3194.0,77476.0,912.4,489480.5,1117.9,24.5825
Tamil Nadu,2016,28.0,72,1070,Potato,Rabi       ,1653.0,31493.0,912.4,253322.25,578.55,21.248
Tamil Nadu,2017,27.3,70,850,Potato,Kharif     ,2358.0,40817.0,970.9,371243.52,896.04,16.698
Tamil Nadu,2017,27.3,70,850,Potato,Rabi       ,1224.0,27698.0,970.9,192706.56,465.12,23.12
Tamil Nadu,2018,28.4,76,1150,Potato,Kharif     ,2334.0,25622.0,986.2,378574.8,816.9,13.195
Tamil Nadu,2018,28.4,76,1150,Potato,Rabi       ,1198.0,23750.0,986.2,194315.6,419.3,23.2225
Tamil Nadu,2019,27.0,69,920,Potato,Kharif     ,2900.0,60513.0,910.1,498104.0,1073.0,21.384
Tamil Nadu,2019,27.0,69,920,Potato,Rabi       ,1113.0,24207.0,910.1,191168.88,411.81,21.68
Kerala,2011,25.8,76,2780,Potato,Whole Year ,386.0,4827.0,3035.1,64662.72,127.38,11.5
