State,Year,AvgTemp,AvgHumidity,TotalRainfall,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Andhra Pradesh,2008,27.2,67,950,Ragi,Kharif     ,44783.0,42929.0,944.6,6405760.32,4030.47,1.146153846
Andhra Pradesh,2008,27.2,67,950,Ragi,Rabi       ,5238.0,8949.0,944.6,749243.52,471.42,1.703636364
Andhra Pradesh,2009,26.5,64,820,Ragi,Kharif     ,38906.0,41951.0,711.0,6062332.92,6614.02,1.08
Andhra Pradesh,2009,26.5,64,820,Ragi,Rabi       ,6322.0,11751.0,711.0,985094.04,1074.74,1.824545455
Andhra Pradesh,2010,27.8,69,1080,Ragi,Kharif     ,37078.0,42556.0,1297.0,6159026.58,8898.72,1.183333333
Andhra Pradesh,2010,27.8,69,1080,Ragi,Rabi       ,5244.0,7725.0,1297.0,871080.84,1258.56,1.465833333
Andhra Pradesh,2011,26.9,66,890,Ragi,Kharif     ,37057.0,31267.0,861.9,6207788.64,12228.81,0.993846154
Andhra Pradesh,2011,26.9,66,890,Ragi,Rabi       ,5379.0,9505.0,861.9,901090.08,1775.07,1.690909091
Andhra Pradesh,2012,27.5,68,980,Ragi,Kharif     ,36000.0,38000.0,968.7,5428800.0,11160.0,1.207142857
Andhra Pradesh,2012,27.5,68,980,Ragi,Rabi       ,5000.0,6000.0,968.7,754000.0,1550.0,1.2
Andhra Pradesh,2013,27.0,65,850,Ragi,Kharif     ,37021.0,36385.0,1062.3,5349164.29,9995.67,1.005454545
Andhra Pradesh,2013,27.0,65,850,Ragi,Rabi       ,4538.0,7056.0,1062.3,655695.62,1225.26,1.534444444
Andhra Pradesh,2014,28.1,70,1120,Ragi,Kharif     ,28742.0,27354.0,687.6,4338892.32,9484.86,1.024444444
Andhra Pradesh,2014,28.1,70,1120,Ragi,Rabi       ,4698.0,7046.0,687.6,709210.08,1550.34,1.511
Andhra Pradesh,2015,26.7,63,780,Ragi,Kharif     ,26603.0,25402.0,940.7,4200879.73,8778.99,1.123333333
Andhra Pradesh,2015,26.7,63,780,Ragi,Rabi       ,4569.0,8572.0,940.7,721490.79,1507.77,1.757777778
Andhra Pradesh,2016,27.9,68,1050,Ragi,Kharif     ,26899.0,25638.0,890.0,4122271.75,9414.65,1.086
Andhra Pradesh,2016,27.9,68,1050,Ragi,Rabi       ,5159.0,8895.0,890.0,790616.75,1805.65,1.78
Andhra Pradesh,2017,26.8,64,830,Ragi,Kharif     ,26640.0,30128.0,868.2,4194201.6,10123.2,1.28
Andhra Pradesh,2017,26.8,64,830,Ragi,Rabi       ,7810.0,13861.0,868.2,1229606.4,2967.8,1.896666667
Andhra Pradesh,2018,28.2,71,1150,Ragi,Kharif     ,23993.0,29467.0,1220.5,3891664.6,8397.55,1.305555556
Andhra Pradesh,2018,28.2,71,1150,Ragi,Rabi       ,8149.0,13853.0,1220.5,1321767.8,2852.15,1.781111111
Andhra Pradesh,2019,27.1,66,900,Ragi,Kharif     ,25660.0,31913.0,899.2,4407361.6,9494.2,1.315
Andhra Pradesh,2019,27.1,66,900,Ragi,Rabi       ,7893.0,12385.0,899.2,1355701.68,2920.41,1.588888889
Tamil Nadu,2008,27.5,72,950,Ragi,Whole Year ,90079.0,169944.0,1201.9,12884900.16,8107.11,2.228928571
Tamil Nadu,2009,26.8,69,830,Ragi,Whole Year ,82335.0,160939.0,928.5,12829439.7,13996.95,2.344642857
Tamil Nadu,2010,27.9,74,1050,Ragi,Kharif     ,75650.0,171096.0,1095.2,12566221.5,18156.0,2.283461538
Tamil Nadu,2011,27.2,71,890,Ragi,Kharif     ,68835.0,181491.0,926.5,11531239.2,22715.55,2.607083333
Tamil Nadu,2011,27.2,71,890,Ragi,Rabi       ,13970.0,43371.0,926.5,2340254.4,4610.1,2.879090909
Tamil Nadu,2012,27.7,73,980,Ragi,Kharif     ,70294.0,138011.0,706.8,10600335.2,21791.14,2.089259259
Tamil Nadu,2013,26.9,68,880,Ragi,Kharif     ,88166.0,241241.0,740.9,12739105.34,23804.82,2.782083333
Tamil Nadu,2013,26.9,68,880,Ragi,Rabi       ,30533.0,121102.0,740.9,4411713.17,8243.91,3.823333333
Tamil Nadu,2014,28.2,75,1100,Ragi,Kharif     ,74309.0,223204.0,911.3,11217686.64,24521.97,3.029583333
Tamil Nadu,2014,28.2,75,1100,Ragi,Rabi       ,30117.0,126424.0,911.3,4546462.32,9938.61,4.1516
Tamil Nadu,2015,26.5,67,790,Ragi,Kharif     ,68487.0,203942.0,1201.9,10814782.17,22600.71,2.978333333
Tamil Nadu,2015,26.5,67,790,Ragi,Rabi       ,21499.0,78112.0,1201.9,3394907.09,7094.67,3.523333333
Tamil Nadu,2016,28.0,72,1070,Ragi,Kharif     ,52250.0,85970.0,912.4,8007312.5,18287.5,1.652272727
Tamil Nadu,2016,28.0,72,1070,Ragi,Rabi       ,9112.0,28459.0,912.4,1396414.0,3189.2,3.050833333
Tamil Nadu,2017,27.3,70,850,Ragi,Kharif     ,62373.0,213587.0,970.9,9820005.12,23701.74,3.3212
Tamil Nadu,2017,27.3,70,850,Ragi,Rabi       ,24140.0,107745.0,970.9,3800601.6,9173.2,4.336538462
Tamil Nadu,2018,28.4,76,1150,Ragi,Kharif     ,56917.0,178988.0,986.2,9231937.4,19920.95,3.1396
Tamil Nadu,2018,28.4,76,1150,Ragi,Rabi       ,21676.0,76983.0,986.2,3515847.2,7586.6,3.486153846
Tamil Nadu,2019,27.0,69,920,Ragi,Kharif     ,63650.0,190535.0,910.1,10932524.0,23550.5,2.928181818
Tamil Nadu,2019,27.0,69,920,Ragi,Rabi       ,20895.0,83939.0,910.1,3588925.2,7731.15,3.879230769
Kerala,2008,25.6,77,2850,Ragi,Kharif     ,608.0,492.0,2524.8,86968.32,54.72,0.856
Kerala,2009,24.9,75,2650,Ragi,Kharif     ,293.0,236.0,2821.5,45655.26,49.81,0.405
Kerala,2012,26.3,78,2950,Ragi,Whole Year ,113.0,123.0,2187.6,17040.4,35.03,0.55
Kerala,2013,25.6,74,2830,Ragi,Whole Year ,82.0,85.0,3255.4,11848.18,22.14,1.04
Kerala,2014,26.0,77,2900,Ragi,Whole Year ,79.0,78.0,3046.4,11925.84,26.07,0.995
Kerala,2015,25.9,74,2750,Ragi,Whole Year ,64.0,76.0,2602.9,10106.24,21.12,1.405
Kerala,2016,26.5,78,2950,Ragi,Whole Year ,33.0,42.0,2924.3,5057.25,11.55,1.375
Kerala,2017,26.0,76,2800,Ragi,Whole Year ,86.5,110.0,2664.8,13618.56,32.87,1.36
Kerala,2018,26.6,79,3000,Ragi,Whole Year ,224.7,272.0,2989.7,36446.34,78.645,1.355
Kerala,2019,26.1,77,2920,Ragi,Whole Year ,213.0,261.0,3119.2,36584.88,78.81,1.36
Gujarat,2008,27.6,62,721,Ragi,Kharif     ,19400.0,20000.0,746.1,2774976.0,1746.0,1.0925
Gujarat,2009,27.2,61,654,Ragi,Kharif     ,14700.0,11000.0,618.0,2290554.0,2499.0,0.7575
Gujarat,2010,28.0,63,812,Ragi,Kharif     ,20000.0,13900.0,1107.5,3322200.0,4800.0,0.7225
Gujarat,2011,27.5,62,749,Ragi,Kharif     ,16200.0,13300.0,890.5,2713824.0,5346.0,0.86
Gujarat,2012,28.1,64,876,Ragi,Kharif     ,17300.0,16500.0,460.6,2608840.0,5363.0,0.976
Gujarat,2013,27.4,61,701,Ragi,Kharif     ,14326.0,14082.0,1006.5,2069963.74,3868.02,0.98
Gujarat,2014,28.3,65,945,Ragi,Kharif     ,20078.0,17141.0,605.6,3030974.88,6625.74,0.83
Gujarat,2015,27.7,63,802,Ragi,Kharif     ,19235.0,15013.0,584.3,3037398.85,6347.55,0.766666667
Gujarat,2016,28.5,64,928,Ragi,Kharif     ,19205.0,23966.0,710.5,2943166.25,6721.75,1.133333333
Gujarat,2017,27.8,62,765,Ragi,Kharif     ,11880.0,10646.0,814.8,1870387.2,4514.4,0.876666667
Gujarat,2018,28.7,66,1014,Ragi,Kharif     ,11994.0,9646.0,1125.4,1945426.8,4197.9,0.786666667
Gujarat,2019,28.0,64,856,Ragi,Kharif     ,11606.0,10010.0,1067.8,1993446.56,4294.22,0.83
Telangana,2013,27.5,62,807,Ragi,Kharif     ,1204.0,1727.0,1348.7,173965.96,325.08,1.593333333
Telangana,2013,27.5,62,807,Ragi,Rabi       ,511.0,794.0,1348.7,73834.39,137.97,1.55
Telangana,2014,28.4,66,1029,Ragi,Kharif     ,1196.0,1333.0,746.4,180548.16,394.68,1.38
Telangana,2014,28.4,66,1029,Ragi,Rabi       ,331.0,415.0,746.4,49967.76,109.23,1.2675
Telangana,2015,27.8,64,876,Ragi,Kharif     ,742.0,404.0,747.9,117169.22,244.86,0.666666667
Telangana,2015,27.8,64,876,Ragi,Rabi       ,178.0,110.0,747.9,28107.98,58.74,0.663333333
Telangana,2016,28.6,65,1004,Ragi,Kharif     ,838.0,971.0,942.6,128423.5,293.3,1.094285714
Telangana,2016,28.6,65,1004,Ragi,Rabi       ,296.0,341.0,942.6,45362.0,103.6,1.1075
Telangana,2017,27.9,64,920,Ragi,Kharif     ,1181.0,1355.0,815.7,185936.64,448.78,1.18
Telangana,2017,27.9,64,920,Ragi,Rabi       ,274.0,300.0,815.7,43138.56,104.12,1.185
Telangana,2018,28.7,66,1052,Ragi,Kharif     ,1034.0,1011.0,1350.3,167714.8,361.9,0.974285714
Telangana,2018,28.7,66,1052,Ragi,Rabi       ,176.0,173.0,1350.3,28547.2,61.6,0.994285714
Telangana,2019,28.2,65,947,Ragi,Kharif     ,1488.0,2355.0,1031.7,255578.88,550.56,1.644285714
Telangana,2019,28.2,65,947,Ragi,Rabi       ,262.0,417.0,1031.7,45001.12,96.94,1.572857143
Madhya Pradesh,2008,26.5,69,1059,Ragi,Kharif     ,444.0,138.0,895.0,63509.76,39.96,0.224
Madhya Pradesh,2009,26.0,68,982,Ragi,Whole Year ,382.0,120.0,904.1,59523.24,64.94,0.32
Madhya Pradesh,2010,26.7,70,1124,Ragi,Kharif     ,283.0,87.0,856.3,47009.13,67.92,0.0775
Madhya Pradesh,2011,26.2,69,1017,Ragi,Kharif     ,262.0,68.0,852.6,43890.24,86.46,0.13
Madhya Pradesh,2012,26.9,71,1205,Ragi,Kharif     ,415.0,127.0,1049.5,62582.0,128.65,0.194
Madhya Pradesh,2013,25.8,68,952,Ragi,Kharif     ,336.0,192.0,1451.4,48548.64,90.72,0.463333333
Puducherry,2008,28.5,74,1356,Ragi,Kharif     ,21.0,52.0,1434.5875,3003.84,1.89,1.775
Puducherry,2008,28.5,74,1356,Ragi,Rabi       ,4.0,9.0,1434.5875,572.16,0.36,2.25
Puducherry,2008,28.5,74,1356,Ragi,Summer     ,14.0,42.0,1434.5875,2002.56,1.26,3.0
Puducherry,2009,28.1,73,1284,Ragi,Kharif     ,12.0,29.0,1434.5875,1869.84,2.04,1.775
Puducherry,2009,28.1,73,1284,Ragi,Rabi       ,5.0,11.0,1434.5875,779.1,0.85,2.2
Puducherry,2009,28.1,73,1284,Ragi,Summer     ,17.0,51.0,1434.5875,2648.94,2.89,3.0
Puducherry,2010,28.8,75,1427,Ragi,Kharif     ,14.0,29.0,1434.5875,2325.54,3.36,1.575
Puducherry,2010,28.8,75,1427,Ragi,Rabi       ,1.0,2.0,1434.5875,166.11,0.24,2.0
Puducherry,2010,28.8,75,1427,Ragi,Summer     ,8.0,20.0,1434.5875,1328.88,1.92,2.5
Puducherry,2011,28.3,74,1312,Ragi,Kharif     ,12.0,33.0,1434.5875,2010.24,3.96,2.75
Puducherry,2011,28.3,74,1312,Ragi,Summer     ,10.0,25.0,1434.5875,1675.2,3.3,2.5
Puducherry,2012,29.0,76,1485,Ragi,Kharif     ,16.0,37.0,1098.3,2412.8,4.96,2.31
Puducherry,2012,29.0,76,1485,Ragi,Summer     ,17.0,31.0,1098.3,2563.6,5.27,1.82
Puducherry,2013,28.4,73,1257,Ragi,Kharif     ,19.0,36.0,1083.2,2745.31,5.13,1.89
Puducherry,2013,28.4,73,1257,Ragi,Rabi       ,1.0,2.0,1083.2,144.49,0.27,2.0
Puducherry,2013,28.4,73,1257,Ragi,Summer     ,21.0,39.0,1083.2,3034.29,5.67,1.86
Puducherry,2014,29.1,77,1542,Ragi,Kharif     ,12.0,28.0,1330.0,1811.52,3.96,2.18
Puducherry,2014,29.1,77,1542,Ragi,Summer     ,32.0,58.0,1330.0,4830.72,10.56,1.81
Puducherry,2015,28.6,74,1386,Ragi,Kharif     ,34.0,81.0,1980.6,5368.94,11.22,2.195
