State,Year,AvgTemp,AvgHumidity,TotalRainfall,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Andhra Pradesh,2008,27.2,67,950,Soyabean,Kharif     ,142128.0,193969.0,944.6,20329989.12,12791.52,1.362727273
Andhra Pradesh,2009,26.5,64,820,Soyabean,Kharif     ,156296.0,128785.0,711.0,24354042.72,26570.32,0.703636364
Andhra Pradesh,2010,27.8,69,1080,Soyabean,Kharif     ,127712.0,217682.0,1297.0,21214240.32,30650.88,1.696923077
Andhra Pradesh,2011,26.9,66,890,Soyabean,Kharif     ,130488.0,210812.0,861.9,21859349.76,43061.04,1.570769231
Andhra Pradesh,2012,27.5,68,980,Soyabean,Kharif     ,1317.0,2393.0,968.7,198603.6,408.27,1.793333333
Andhra Pradesh,2012,27.5,68,980,Soyabean,Rabi       ,81.0,147.0,968.7,12214.8,25.11,1.816666667
Andhra Pradesh,2013,27.0,65,850,Soyabean,Kharif     ,3025.0,4872.0,1062.3,437082.25,816.75,1.62
Andhra Pradesh,2013,27.0,65,850,Soyabean,Rabi       ,80.0,129.0,1062.3,11559.2,21.6,1.626666667
Andhra Pradesh,2014,28.1,70,1120,Soyabean,Kharif     ,730.0,1669.0,687.6,110200.8,240.9,1.956
Andhra Pradesh,2014,28.1,70,1120,Soyabean,Rabi       ,190.0,293.0,687.6,28682.4,62.7,1.615
Andhra Pradesh,2015,26.7,63,780,Soyabean,Kharif     ,1210.0,1786.0,940.7,191071.1,399.3,1.45
Andhra Pradesh,2015,26.7,63,780,Soyabean,Rabi       ,66.0,107.0,940.7,10422.06,21.78,1.62
Andhra Pradesh,2016,27.9,68,1050,Soyabean,Kharif     ,1570.0,1448.0,890.0,240602.5,549.5,1.0175
Andhra Pradesh,2016,27.9,68,1050,Soyabean,Rabi       ,1.0,1.0,890.0,153.25,0.35,1.0
Andhra Pradesh,2017,26.8,64,830,Soyabean,Kharif     ,373.0,705.0,868.2,58725.12,141.74,1.74
Andhra Pradesh,2017,26.8,64,830,Soyabean,Rabi       ,2.0,4.0,868.2,314.88,0.76,2.0
Andhra Pradesh,2018,28.2,71,1150,Soyabean,Kharif     ,1411.0,2718.0,1220.5,228864.2,493.85,1.7425
Andhra Pradesh,2018,28.2,71,1150,Soyabean,Rabi       ,5.0,10.0,1220.5,811.0,1.75,2.0
Andhra Pradesh,2019,27.1,66,900,Soyabean,Kharif     ,1354.0,2367.0,899.2,232563.04,500.98,1.13
Andhra Pradesh,2019,27.1,66,900,Soyabean,Rabi       ,24.0,42.0,899.2,4122.24,8.88,1.39
Kerala,2012,26.3,78,2950,Soyabean,Whole Year ,7.0,10.0,2187.6,1055.6,2.17,1.43
Kerala,2013,25.6,74,2830,Soyabean,Whole Year ,6.0,9.0,3255.4,866.94,1.62,1.5
Kerala,2014,26.0,77,2900,Soyabean,Whole Year ,1.0,1.0,3046.4,150.96,0.33,1.4
Kerala,2015,25.9,74,2750,Soyabean,Whole Year ,1.0,1.0,2602.9,157.91,0.33,1.0
Gujarat,2010,28.0,63,812,Soyabean,Kharif     ,84000.0,68100.0,1107.5,13953240.0,20160.0,0.852307692
Gujarat,2011,27.5,62,749,Soyabean,Kharif     ,42100.0,33400.0,890.5,7052592.0,13893.0,0.768
Gujarat,2012,28.1,64,876,Soyabean,Kharif     ,46500.0,36400.0,460.6,7012200.0,14415.0,0.731428571
Gujarat,2013,27.4,61,701,Soyabean,Kharif     ,59954.0,47747.0,1006.5,8662753.46,16187.58,0.791111111
Gujarat,2014,28.3,65,945,Soyabean,Kharif     ,58047.0,45095.0,605.6,8762775.12,19155.51,0.727333333
Gujarat,2015,27.7,63,802,Soyabean,Kharif     ,80354.0,61832.0,584.3,12688700.14,26516.82,0.732222222
Gujarat,2016,28.5,64,928,Soyabean,Kharif     ,120222.0,105981.0,710.5,18424021.5,42077.7,0.940555556
Gujarat,2017,27.8,62,765,Soyabean,Kharif     ,146015.0,137352.0,814.8,22988601.6,55485.7,1.001176471
Gujarat,2018,28.7,66,1014,Soyabean,Kharif     ,135651.0,323997.0,1125.4,22002592.2,47477.85,1.619
Gujarat,2019,28.0,64,856,Soyabean,Kharif     ,100624.0,132661.0,1067.8,17283178.24,37230.88,1.314705882
Telangana,2013,27.5,62,807,Soyabean,Kharif     ,242438.0,390305.0,1348.7,35029866.62,65458.26,1.6
