State,Year,AvgTemp,AvgHumidity,TotalRainfall,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Andhra Pradesh,2008,27.2,67,950,Tapioca,Whole Year ,16765.0,208052.0,944.6,2398065.6,1508.85,9.871428571
Andhra Pradesh,2009,26.5,64,820,Tapioca,Whole Year ,11234.0,146366.0,711.0,1750481.88,1909.78,9.916666667
Andhra Pradesh,2010,27.8,69,1080,Tapioca,Whole Year ,12859.0,84686.0,1297.0,2136008.49,3086.16,6.1075
Andhra Pradesh,2011,26.9,66,890,Tapioca,Whole Year ,12793.0,127953.0,861.9,2143083.36,4221.69,9.755
Andhra Pradesh,2012,27.5,68,980,Tapioca,Kharif     ,11619.0,213952.0,968.7,1752145.2,3601.89,18.414
Andhra Pradesh,2013,27.0,65,850,Tapioca,Kharif     ,10588.0,194968.0,1062.3,1529860.12,2858.76,18.4125
Andhra Pradesh,2013,27.0,65,850,Tapioca,Rabi       ,20.0,368.0,1062.3,2889.8,5.4,18.4
Andhra Pradesh,2014,28.1,70,1120,Tapioca,Kharif     ,10736.0,210558.0,687.6,1620706.56,3542.88,18.75
Andhra Pradesh,2014,28.1,70,1120,Tapioca,Rabi       ,49.0,0.0,687.6,7397.04,16.17,0.0
Andhra Pradesh,2015,26.7,63,780,Tapioca,Kharif     ,8572.0,111270.0,940.7,1353604.52,2828.76,14.00333333
Andhra Pradesh,2015,26.7,63,780,Tapioca,Rabi       ,61.0,763.0,940.7,9632.51,20.13,11.06
Andhra Pradesh,2016,27.9,68,1050,Tapioca,Kharif     ,7122.0,83906.0,890.0,1091446.5,2492.7,13.00333333
Andhra Pradesh,2016,27.9,68,1050,Tapioca,Rabi       ,19.0,189.0,890.0,2911.75,6.65,10.0875
Andhra Pradesh,2017,26.8,64,830,Tapioca,Kharif     ,7468.0,92603.0,868.2,1175761.92,2837.84,13.26666667
Andhra Pradesh,2017,26.8,64,830,Tapioca,Rabi       ,39.0,474.0,868.2,6140.16,14.82,9.53
Andhra Pradesh,2018,28.2,71,1150,Tapioca,Kharif     ,7350.0,86912.0,1220.5,1192170.0,2572.5,12.895
Andhra Pradesh,2018,28.2,71,1150,Tapioca,Rabi       ,83.0,743.0,1220.5,13462.6,29.05,11.4425
Andhra Pradesh,2019,27.1,66,900,Tapioca,Kharif     ,6986.0,84845.0,899.2,1199915.36,2584.82,13.61166667
Andhra Pradesh,2019,27.1,66,900,Tapioca,Rabi       ,54.0,512.0,899.2,9275.04,19.98,14.415
