State,Year,AvgTemp,AvgHumidity,TotalRainfall,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Andhra Pradesh,2008,27.2,67,950,Rice,Kharif     ,2803076.0,8379635.0,944.6,400951991.0,252276.84,2.913636364
Andhra Pradesh,2008,27.2,67,950,Rice,Rabi       ,1584140.0,5861498.0,944.6,226595385.6,142572.6,3.236818182
Andhra Pradesh,2009,26.5,64,820,Rice,Kharif     ,2062870.0,5956396.0,711.0,321436403.4,350687.9,2.790909091
Andhra Pradesh,2009,26.5,64,820,Rice,Rabi       ,1377866.0,4881871.0,711.0,214699080.1,234237.22,3.098636364
Andhra Pradesh,2010,27.8,69,1080,Rice,Kharif     ,2921793.0,7509866.0,1297.0,485339035.2,701230.32,2.666818182
Andhra Pradesh,2010,27.8,69,1080,Rice,Rabi       ,1829516.0,6909447.0,1297.0,303900902.8,439083.84,3.325909091
Andhra Pradesh,2011,26.9,66,890,Rice,Kharif     ,2873949.0,8563334.0,861.9,481443936.5,948403.17,2.909090909
Andhra Pradesh,2011,26.9,66,890,Rice,Rabi       ,1221899.0,4328458.0,861.9,204692520.5,403226.67,3.031818182
Andhra Pradesh,2012,27.5,68,980,Rice,Kharif     ,2487000.0,7167000.0,968.7,375039600.0,770970.0,2.969545455
Andhra Pradesh,2012,27.5,68,980,Rice,Rabi       ,1141000.0,4344000.0,968.7,172062800.0,353710.0,3.243636364
Andhra Pradesh,2013,27.0,65,850,Rice,Kharif     ,1705555.0,4356822.0,1062.3,246435642.0,460499.85,2.715384615
Andhra Pradesh,2013,27.0,65,850,Rice,Rabi       ,877885.0,3636603.0,1062.3,126845603.7,237028.95,3.408461538
Andhra Pradesh,2014,28.1,70,1120,Rice,Kharif     ,1634921.0,5097447.0,687.6,246807674.2,539523.93,3.184615385
Andhra Pradesh,2014,28.1,70,1120,Rice,Rabi       ,759034.0,3358137.0,687.6,114583772.6,250481.22,3.541538462
Andhra Pradesh,2015,26.7,63,780,Rice,Kharif     ,1398884.0,4115558.0,940.7,220897772.4,461631.72,3.091538462
Andhra Pradesh,2015,26.7,63,780,Rice,Rabi       ,761911.0,3402713.0,940.7,120313366.0,251430.63,3.671538462
Andhra Pradesh,2016,27.9,68,1050,Rice,Kharif     ,1519656.0,5233690.0,890.0,232887282.0,531879.6,3.361538462
Andhra Pradesh,2016,27.9,68,1050,Rice,Rabi       ,585363.0,2768647.0,890.0,89706879.75,204877.05,3.727692308
Andhra Pradesh,2017,26.8,64,830,Rice,Kharif     ,1476928.0,4941933.0,868.2,232527544.3,561232.64,3.25
Andhra Pradesh,2017,26.8,64,830,Rice,Rabi       ,741258.0,3519409.0,868.2,116703659.5,281678.04,3.887692308
Andhra Pradesh,2018,28.2,71,1150,Rice,Kharif     ,1563887.0,5243250.0,1220.5,253662471.4,547360.45,3.263846154
Andhra Pradesh,2018,28.2,71,1150,Rice,Rabi       ,644417.0,2991289.0,1220.5,104524437.4,225545.95,3.699230769
Andhra Pradesh,2019,27.1,66,900,Rice,Kharif     ,1526425.0,5342033.0,899.2,262178758.0,564777.25,3.517692308
Andhra Pradesh,2019,27.1,66,900,Rice,Rabi       ,829557.0,3798058.0,899.2,142484710.3,306936.09,3.873076923
Tamil Nadu,2008,27.5,72,950,Rice,Kharif     ,1931603.0,5183385.0,1201.9,276296493.1,173844.27,3.562580645
Tamil Nadu,2009,26.8,69,830,Rice,Kharif     ,1845553.0,5665258.0,928.5,287574068.5,313744.01,3.539677419
Tamil Nadu,2010,27.9,74,1050,Rice,Kharif     ,1905726.0,5792415.0,1095.2,316560145.9,457374.24,3.597419355
Tamil Nadu,2011,27.2,71,890,Rice,Kharif     ,1903772.0,7458657.0,926.5,318919885.4,628244.76,4.226451613
